,Unit,File name,Offset (s),Offset (hh:mm:ss),UTC start (hh:mm:ss),UTC time slot,Week (first day),Cluster ID (0-9)
1548,unit05,20151005231003, 2996, 0:49:56,04:00:00,22h - 06h,Oct 1,4
1549,unit05,20151005231003,10196, 2:49:56,06:00:00,06h - 08h,Oct 1,5
1550,unit05,20151005231003,17396, 4:49:56,08:00:00,08h - 10h,Oct 1,5
1551,unit05,20151005231003,24596, 6:49:56,10:00:00,10h - 12h,Oct 1,5
1553,unit05,20150912235102,  538, 0:08:58,04:00:00,22h - 06h,Sep 7,7
1554,unit05,20150912235102, 7738, 2:08:58,06:00:00,06h - 08h,Sep 7,7
1555,unit05,20150912235102,14938, 4:08:58,08:00:00,08h - 10h,Sep 7,7
1556,unit05,20150912235102,22138, 6:08:58,10:00:00,10h - 12h,Sep 7,7
1558,unit05,20150920233602, 1438, 0:23:58,04:00:00,22h - 06h,Sep 14,0
1559,unit05,20150920233602, 8638, 2:23:58,06:00:00,06h - 08h,Sep 14,0
1560,unit05,20150920233602,15838, 4:23:58,08:00:00,08h - 10h,Sep 14,5
1561,unit05,20150920233602,23038, 6:23:58,10:00:00,10h - 12h,Sep 14,5
1563,unit05,20150928232202, 2278, 0:37:58,04:00:00,22h - 06h,Sep 21,6
1564,unit05,20150928232202, 9478, 2:37:58,06:00:00,06h - 08h,Sep 21,0
1565,unit05,20150928232202,16678, 4:37:58,08:00:00,08h - 10h,Sep 21,0
1566,unit05,20150928232202,23878, 6:37:58,10:00:00,10h - 12h,Sep 21,0
1568,unit05,20151009230403, 3357, 0:55:57,04:00:00,22h - 06h,Oct 7,0
1569,unit05,20151009230403,10557, 2:55:57,06:00:00,06h - 08h,Oct 7,0
1570,unit05,20151009230403,17757, 4:55:57,08:00:00,08h - 10h,Oct 7,5
1571,unit05,20151009230403,24957, 6:55:57,10:00:00,10h - 12h,Oct 7,7
1573,unit05,20150908000002, 7198, 1:59:58,06:00:00,06h - 08h,Sep 7,2
1574,unit05,20150908000002,14398, 3:59:58,08:00:00,08h - 10h,Sep 7,2
1575,unit05,20150908000002,21598, 5:59:58,10:00:00,10h - 12h,Sep 7,2
1578,unit05,20151029223402, 5158, 1:25:58,04:00:00,22h - 06h,Oct 21,0
1579,unit05,20151029223402,12358, 3:25:58,06:00:00,06h - 08h,Oct 21,0
1580,unit05,20151029223402,19558, 5:25:58,08:00:00,08h - 10h,Oct 21,0
1581,unit05,20151029223402,26758, 7:25:58,10:00:00,10h - 12h,Oct 21,0
1584,unit05,20151016225202, 4078, 1:07:58,04:00:00,22h - 06h,Oct 14,0
1585,unit05,20151016225202,11278, 3:07:58,06:00:00,06h - 08h,Oct 14,0
1586,unit05,20151016225202,18478, 5:07:58,08:00:00,08h - 10h,Oct 14,0
1587,unit05,20151016225202,25678, 7:07:58,10:00:00,10h - 12h,Oct 14,0
1589,unit05,20151104222602, 5638, 1:33:58,05:00:00,22h - 06h,Nov 1,0
1590,unit05,20151104222602,12838, 3:33:58,07:00:00,06h - 08h,Nov 1,0
1591,unit05,20151104222602,20038, 5:33:58,09:00:00,08h - 10h,Nov 1,0
1592,unit05,20151104222602,27238, 7:33:58,11:00:00,10h - 12h,Nov 1,0
1595,unit05,20150906000303, 7017, 1:56:57,06:00:00,06h - 08h,Sep 1,6
1596,unit05,20150906000303,14217, 3:56:57,08:00:00,08h - 10h,Sep 1,6
1597,unit05,20150906000303,21417, 5:56:57,10:00:00,10h - 12h,Sep 1,6
1600,unit05,20151025223902, 4858, 1:20:58,04:00:00,22h - 06h,Oct 21,4
1601,unit05,20151025223902,12058, 3:20:58,06:00:00,06h - 08h,Oct 21,0
1602,unit05,20151025223902,19258, 5:20:58,08:00:00,08h - 10h,Oct 21,0
1603,unit05,20151025223902,26458, 7:20:58,10:00:00,10h - 12h,Oct 21,0
1606,unit05,20150821003103, 5337, 1:28:57,06:00:00,06h - 08h,Aug 14,2
1607,unit05,20150821003103,12537, 3:28:57,08:00:00,08h - 10h,Aug 14,9
1608,unit05,20150821003103,19737, 5:28:57,10:00:00,10h - 12h,Aug 14,9
1610,unit05,20150824002605, 5635, 1:33:55,06:00:00,06h - 08h,Aug 21,6
1611,unit05,20150824002605,12835, 3:33:55,08:00:00,08h - 10h,Aug 21,3
1612,unit05,20150824002605,20035, 5:33:55,10:00:00,10h - 12h,Aug 21,0
1614,unit05,20151006230902, 3058, 0:50:58,04:00:00,22h - 06h,Oct 1,5
1615,unit05,20151006230902,10258, 2:50:58,06:00:00,06h - 08h,Oct 1,5
1616,unit05,20151006230902,17458, 4:50:58,08:00:00,08h - 10h,Oct 1,8
1617,unit05,20151006230902,24658, 6:50:58,10:00:00,10h - 12h,Oct 1,8
1619,unit05,20151003231402, 2758, 0:45:58,04:00:00,22h - 06h,Oct 1,5
1620,unit05,20151003231402, 9958, 2:45:58,06:00:00,06h - 08h,Oct 1,5
1621,unit05,20151003231402,17158, 4:45:58,08:00:00,08h - 10h,Oct 1,5
1622,unit05,20151003231402,24358, 6:45:58,10:00:00,10h - 12h,Oct 1,5
1624,unit05,20150926232602, 2038, 0:33:58,04:00:00,22h - 06h,Sep 21,3
1625,unit05,20150926232602, 9238, 2:33:58,06:00:00,06h - 08h,Sep 21,0
1626,unit05,20150926232602,16438, 4:33:58,08:00:00,08h - 10h,Sep 21,0
1627,unit05,20150926232602,23638, 6:33:58,10:00:00,10h - 12h,Sep 21,8
1629,unit05,20151028223503, 5097, 1:24:57,04:00:00,22h - 06h,Oct 21,0
1630,unit05,20151028223503,12297, 3:24:57,06:00:00,06h - 08h,Oct 21,0
1631,unit05,20151028223503,19497, 5:24:57,08:00:00,08h - 10h,Oct 21,0
1632,unit05,20151028223503,26697, 7:24:57,10:00:00,10h - 12h,Oct 21,5
1635,unit05,20150831001407, 6353, 1:45:53,06:00:00,06h - 08h,Aug 21,6
1636,unit05,20150831001407,13553, 3:45:53,08:00:00,08h - 10h,Aug 21,3
1637,unit05,20150831001407,20753, 5:45:53,10:00:00,10h - 12h,Aug 21,3
1639,unit05,20151014225503, 3896, 1:04:56,04:00:00,22h - 06h,Oct 7,5
1640,unit05,20151014225503,11096, 3:04:56,06:00:00,06h - 08h,Oct 14,5
1641,unit05,20151014225503,18296, 5:04:56,08:00:00,08h - 10h,Oct 14,5
1642,unit05,20151014225503,25496, 7:04:56,10:00:00,10h - 12h,Oct 14,5
1644,unit05,20151117221402, 6358, 1:45:58,05:00:00,22h - 06h,Nov 14,0
1645,unit05,20151117221402,13558, 3:45:58,07:00:00,06h - 08h,Nov 14,0
1646,unit05,20151117221402,20758, 5:45:58,09:00:00,08h - 10h,Nov 14,0
1647,unit05,20151117221402,27958, 7:45:58,11:00:00,10h - 12h,Nov 14,0
1650,unit05,20151020224602, 4438, 1:13:58,04:00:00,22h - 06h,Oct 14,4
1651,unit05,20151020224602,11638, 3:13:58,06:00:00,06h - 08h,Oct 14,5
1652,unit05,20151020224602,18838, 5:13:58,08:00:00,08h - 10h,Oct 14,5
1653,unit05,20151020224602,26038, 7:13:58,10:00:00,10h - 12h,Oct 14,5
1656,unit05,20150917234203, 1077, 0:17:57,04:00:00,22h - 06h,Sep 14,2
1657,unit05,20150917234203, 8277, 2:17:57,06:00:00,06h - 08h,Sep 14,6
1658,unit05,20150917234203,15477, 4:17:57,08:00:00,08h - 10h,Sep 14,6
1659,unit05,20150917234203,22677, 6:17:57,10:00:00,10h - 12h,Sep 14,0
1661,unit05,20150830001602, 6238, 1:43:58,06:00:00,06h - 08h,Aug 21,3
1662,unit05,20150830001602,13438, 3:43:58,08:00:00,08h - 10h,Aug 21,3
1663,unit05,20150830001602,20638, 5:43:58,10:00:00,10h - 12h,Aug 21,3
1665,unit05,20151010230202, 3478, 0:57:58,04:00:00,22h - 06h,Oct 7,0
1666,unit05,20151010230202,10678, 2:57:58,06:00:00,06h - 08h,Oct 7,0
1667,unit05,20151010230202,17878, 4:57:58,08:00:00,08h - 10h,Oct 7,0
1668,unit05,20151010230202,25078, 6:57:58,10:00:00,10h - 12h,Oct 7,0
1670,unit05,20151027223602, 5038, 1:23:58,04:00:00,22h - 06h,Oct 21,0
1671,unit05,20151027223602,12238, 3:23:58,06:00:00,06h - 08h,Oct 21,0
1672,unit05,20151027223602,19438, 5:23:58,08:00:00,08h - 10h,Oct 21,0
1673,unit05,20151027223602,26638, 7:23:58,10:00:00,10h - 12h,Oct 21,0
1676,unit05,20151013225702, 3778, 1:02:58,04:00:00,22h - 06h,Oct 7,0
1677,unit05,20151013225702,10978, 3:02:58,06:00:00,06h - 08h,Oct 7,0
1678,unit05,20151013225702,18178, 5:02:58,08:00:00,08h - 10h,Oct 7,0
1679,unit05,20151013225702,25378, 7:02:58,10:00:00,10h - 12h,Oct 7,0
1681,unit05,20150905000505, 6895, 1:54:55,06:00:00,06h - 08h,Sep 1,2
1682,unit05,20150905000505,14095, 3:54:55,08:00:00,08h - 10h,Sep 1,2
1683,unit05,20150905000505,21295, 5:54:55,10:00:00,10h - 12h,Sep 1,6
1686,unit05,20151109222102, 5938, 1:38:58,05:00:00,22h - 06h,Nov 7,0
1687,unit05,20151109222102,13138, 3:38:58,07:00:00,06h - 08h,Nov 7,0
1688,unit05,20151109222102,20338, 5:38:58,09:00:00,08h - 10h,Nov 7,0
1689,unit05,20151109222102,27538, 7:38:58,11:00:00,10h - 12h,Nov 7,0
1692,unit05,20151023224202, 4678, 1:17:58,04:00:00,22h - 06h,Oct 21,4
1693,unit05,20151023224202,11878, 3:17:58,06:00:00,06h - 08h,Oct 21,4
1694,unit05,20151023224202,19078, 5:17:58,08:00:00,08h - 10h,Oct 21,0
1695,unit05,20151023224202,26278, 7:17:58,10:00:00,10h - 12h,Oct 21,0
1698,unit05,20151106222402, 5758, 1:35:58,05:00:00,22h - 06h,Nov 1,0
1699,unit05,20151106222402,12958, 3:35:58,07:00:00,06h - 08h,Nov 1,0
1700,unit05,20151106222402,20158, 5:35:58,09:00:00,08h - 10h,Nov 1,0
1701,unit05,20151106222402,27358, 7:35:58,11:00:00,10h - 12h,Nov 1,5
1704,unit05,20150827002102, 5938, 1:38:58,06:00:00,06h - 08h,Aug 21,3
1705,unit05,20150827002102,13138, 3:38:58,08:00:00,08h - 10h,Aug 21,9
1706,unit05,20150827002102,20338, 5:38:58,10:00:00,10h - 12h,Aug 21,9
1708,unit05,20151118221302, 6418, 1:46:58,05:00:00,22h - 06h,Nov 14,0
1709,unit05,20151118221302,13618, 3:46:58,07:00:00,06h - 08h,Nov 14,0
1710,unit05,20151118221302,20818, 5:46:58,09:00:00,08h - 10h,Nov 14,0
1711,unit05,20151118221302,28018, 7:46:58,11:00:00,10h - 12h,Nov 14,0
1714,unit05,20150922233302, 1618, 0:26:58,04:00:00,22h - 06h,Sep 21,0
1715,unit05,20150922233302, 8818, 2:26:58,06:00:00,06h - 08h,Sep 21,0
1716,unit05,20150922233302,16018, 4:26:58,08:00:00,08h - 10h,Sep 21,8
1717,unit05,20150922233302,23218, 6:26:58,10:00:00,10h - 12h,Sep 21,5
1719,unit05,20151107222303, 5817, 1:36:57,05:00:00,22h - 06h,Nov 7,0
1720,unit05,20151107222303,13017, 3:36:57,07:00:00,06h - 08h,Nov 7,4
1721,unit05,20151107222303,20217, 5:36:57,09:00:00,08h - 10h,Nov 7,5
1722,unit05,20151107222303,27417, 7:36:57,11:00:00,10h - 12h,Nov 7,5
1725,unit05,20151019224802, 4318, 1:11:58,04:00:00,22h - 06h,Oct 14,0
1726,unit05,20151019224802,11518, 3:11:58,06:00:00,06h - 08h,Oct 14,0
1727,unit05,20151019224802,18718, 5:11:58,08:00:00,08h - 10h,Oct 14,0
1728,unit05,20151019224802,25918, 7:11:58,10:00:00,10h - 12h,Oct 14,0
1731,unit05,20150901001203, 6477, 1:47:57,06:00:00,06h - 08h,Sep 1,6
1732,unit05,20150901001203,13677, 3:47:57,08:00:00,08h - 10h,Sep 1,6
1733,unit05,20150901001203,20877, 5:47:57,10:00:00,10h - 12h,Sep 1,3
1735,unit05,20150925232803, 1917, 0:31:57,04:00:00,22h - 06h,Sep 21,3
1736,unit05,20150925232803, 9117, 2:31:57,06:00:00,06h - 08h,Sep 21,3
1737,unit05,20150925232803,16317, 4:31:57,08:00:00,08h - 10h,Sep 21,1
1738,unit05,20150925232803,23517, 6:31:57,10:00:00,10h - 12h,Sep 21,5
1740,unit05,20151116221502, 6298, 1:44:58,05:00:00,22h - 06h,Nov 14,4
1741,unit05,20151116221502,13498, 3:44:58,07:00:00,06h - 08h,Nov 14,4
1742,unit05,20151116221502,20698, 5:44:58,09:00:00,08h - 10h,Nov 14,5
1743,unit05,20151116221502,27898, 7:44:58,11:00:00,10h - 12h,Nov 14,5
1746,unit05,20151011230002, 3598, 0:59:58,04:00:00,22h - 06h,Oct 7,0
1747,unit05,20151011230002,10798, 2:59:58,06:00:00,06h - 08h,Oct 7,0
1748,unit05,20151011230002,17998, 4:59:58,08:00:00,08h - 10h,Oct 7,0
1749,unit05,20151011230002,25198, 6:59:58,10:00:00,10h - 12h,Oct 7,8
1751,unit05,20150817003702, 4978, 1:22:58,06:00:00,06h - 08h,Aug 14,2
1752,unit05,20150817003702,12178, 3:22:58,08:00:00,08h - 10h,Aug 14,2
1753,unit05,20150817003702,19378, 5:22:58,10:00:00,10h - 12h,Aug 14,9
1755,unit05,20151112221802, 6118, 1:41:58,05:00:00,22h - 06h,Nov 7,0
1756,unit05,20151112221802,13318, 3:41:58,07:00:00,06h - 08h,Nov 7,0
1757,unit05,20151112221802,20518, 5:41:58,09:00:00,08h - 10h,Nov 7,0
1758,unit05,20151112221802,27718, 7:41:58,11:00:00,10h - 12h,Nov 7,0
1761,unit05,20151114221603, 6237, 1:43:57,05:00:00,22h - 06h,Nov 14,0
1762,unit05,20151114221603,13437, 3:43:57,07:00:00,06h - 08h,Nov 14,4
1763,unit05,20151114221603,20637, 5:43:57,09:00:00,08h - 10h,Nov 14,4
1764,unit05,20151114221603,27837, 7:43:57,11:00:00,10h - 12h,Nov 14,5
1767,unit05,20150903000902, 6658, 1:50:58,06:00:00,06h - 08h,Sep 1,6
1768,unit05,20150903000902,13858, 3:50:58,08:00:00,08h - 10h,Sep 1,6
1769,unit05,20150903000902,21058, 5:50:58,10:00:00,10h - 12h,Sep 1,6
1771,unit05,20150927232402, 2158, 0:35:58,04:00:00,22h - 06h,Sep 21,0
1772,unit05,20150927232402, 9358, 2:35:58,06:00:00,06h - 08h,Sep 21,0
1773,unit05,20150927232402,16558, 4:35:58,08:00:00,08h - 10h,Sep 21,0
1774,unit05,20150927232402,23758, 6:35:58,10:00:00,10h - 12h,Sep 21,0
1776,unit05,20150924232902, 1858, 0:30:58,04:00:00,22h - 06h,Sep 21,3
1777,unit05,20150924232902, 9058, 2:30:58,06:00:00,06h - 08h,Sep 21,3
1778,unit05,20150924232902,16258, 4:30:58,08:00:00,08h - 10h,Sep 21,1
1779,unit05,20150924232902,23458, 6:30:58,10:00:00,10h - 12h,Sep 21,8
1781,unit05,20151002231502, 2698, 0:44:58,04:00:00,22h - 06h,Oct 1,0
1782,unit05,20151002231502, 9898, 2:44:58,06:00:00,06h - 08h,Oct 1,5
1783,unit05,20151002231502,17098, 4:44:58,08:00:00,08h - 10h,Oct 1,5
1784,unit05,20151002231502,24298, 6:44:58,10:00:00,10h - 12h,Oct 1,5
1786,unit05,20150904000707, 6773, 1:52:53,06:00:00,06h - 08h,Sep 1,6
1787,unit05,20150904000707,13973, 3:52:53,08:00:00,08h - 10h,Sep 1,6
1788,unit05,20150904000707,21173, 5:52:53,10:00:00,10h - 12h,Sep 1,2
1790,unit05,20151119221303, 6417, 1:46:57,05:00:00,22h - 06h,Nov 14,5
1791,unit05,20151119221303,13617, 3:46:57,07:00:00,06h - 08h,Nov 14,5
1792,unit05,20151119221303,20817, 5:46:57,09:00:00,08h - 10h,Nov 14,5
1793,unit05,20151119221303,28017, 7:46:57,11:00:00,10h - 12h,Nov 14,5
1796,unit05,20151008230502, 3298, 0:54:58,04:00:00,22h - 06h,Oct 7,0
1797,unit05,20151008230502,10498, 2:54:58,06:00:00,06h - 08h,Oct 7,0
1798,unit05,20151008230502,17698, 4:54:58,08:00:00,08h - 10h,Oct 7,0
1799,unit05,20151008230502,24898, 6:54:58,10:00:00,10h - 12h,Oct 7,0
1801,unit05,20151113221702, 6178, 1:42:58,05:00:00,22h - 06h,Nov 7,0
1802,unit05,20151113221702,13378, 3:42:58,07:00:00,06h - 08h,Nov 7,0
1803,unit05,20151113221702,20578, 5:42:58,09:00:00,08h - 10h,Nov 7,0
1804,unit05,20151113221702,27778, 7:42:58,11:00:00,10h - 12h,Nov 7,0
1807,unit05,20150918234003, 1196, 0:19:56,04:00:00,22h - 06h,Sep 14,6
1808,unit05,20150918234003, 8396, 2:19:56,06:00:00,06h - 08h,Sep 14,6
1809,unit05,20150918234003,15596, 4:19:56,08:00:00,08h - 10h,Sep 14,0
1810,unit05,20150918234003,22796, 6:19:56,10:00:00,10h - 12h,Sep 14,0
1812,unit05,20150929232102, 2338, 0:38:58,04:00:00,22h - 06h,Sep 21,0
1813,unit05,20150929232102, 9538, 2:38:58,06:00:00,06h - 08h,Sep 21,0
1814,unit05,20150929232102,16738, 4:38:58,08:00:00,08h - 10h,Sep 21,0
1815,unit05,20150929232102,23938, 6:38:58,10:00:00,10h - 12h,Sep 21,0
1817,unit05,20150810204818, 4302, 1:11:42,02:00:00,22h - 06h,Aug 7,0
1818,unit05,20150810204818,11502, 3:11:42,04:00:00,22h - 06h,Aug 7,0
1819,unit05,20150810204818,18702, 5:11:42,06:00:00,06h - 08h,Aug 7,0
1820,unit05,20150810204818,25902, 7:11:42,08:00:00,08h - 10h,Aug 7,0
1821,unit05,20150810204818,33102, 9:11:42,10:00:00,10h - 12h,Aug 7,0
1822,unit05,20150921233502, 1498, 0:24:58,04:00:00,22h - 06h,Sep 21,0
1823,unit05,20150921233502, 8698, 2:24:58,06:00:00,06h - 08h,Sep 21,0
1824,unit05,20150921233502,15898, 4:24:58,08:00:00,08h - 10h,Sep 21,8
1825,unit05,20150921233502,23098, 6:24:58,10:00:00,10h - 12h,Sep 21,8
1827,unit05,20150916020506, 6894, 1:54:54,08:00:00,08h - 10h,Sep 14,7
1828,unit05,20150916020506,14094, 3:54:54,10:00:00,10h - 12h,Sep 14,7
1831,unit05,20151015225402, 3958, 1:05:58,04:00:00,22h - 06h,Oct 14,0
1832,unit05,20151015225402,11158, 3:05:58,06:00:00,06h - 08h,Oct 14,0
1833,unit05,20151015225402,18358, 5:05:58,08:00:00,08h - 10h,Oct 14,0
1834,unit05,20151015225402,25558, 7:05:58,10:00:00,10h - 12h,Oct 14,0
1836,unit05,20150910235405,  355, 0:05:55,04:00:00,22h - 06h,Sep 7,3
1837,unit05,20150910235405, 7555, 2:05:55,06:00:00,06h - 08h,Sep 7,3
1838,unit05,20150910235405,14755, 4:05:55,08:00:00,08h - 10h,Sep 7,3
1839,unit05,20150910235405,21955, 6:05:55,10:00:00,10h - 12h,Sep 7,1
1841,unit05,20150820003302, 5218, 1:26:58,06:00:00,06h - 08h,Aug 14,0
1842,unit05,20150820003302,12418, 3:26:58,08:00:00,08h - 10h,Aug 14,0
1843,unit05,20150820003302,19618, 5:26:58,10:00:00,10h - 12h,Aug 14,0
1845,unit05,20150822002902, 5458, 1:30:58,06:00:00,06h - 08h,Aug 21,9
1846,unit05,20150822002902,12658, 3:30:58,08:00:00,08h - 10h,Aug 21,9
1847,unit05,20150822002902,19858, 5:30:58,10:00:00,10h - 12h,Aug 21,1
1849,unit05,20150909235603,  237, 0:03:57,04:00:00,22h - 06h,Sep 7,6
1850,unit05,20150909235603, 7437, 2:03:57,06:00:00,06h - 08h,Sep 7,6
1851,unit05,20150909235603,14637, 4:03:57,08:00:00,08h - 10h,Sep 7,6
1852,unit05,20150909235603,21837, 6:03:57,10:00:00,10h - 12h,Sep 7,6
1854,unit05,20150810203302, 5218, 1:26:58,02:00:00,22h - 06h,Aug 7,6
1855,unit05,20150810203302,12418, 3:26:58,04:00:00,22h - 06h,Aug 7,6
1856,unit05,20150810203302,19618, 5:26:58,06:00:00,06h - 08h,Aug 7,6
1857,unit05,20150810203302,26818, 7:26:58,08:00:00,08h - 10h,Aug 7,3
1858,unit05,20150810203302,34018, 9:26:58,10:00:00,10h - 12h,Aug 7,9
1859,unit05,20151026223802, 4918, 1:21:58,04:00:00,22h - 06h,Oct 21,4
1860,unit05,20151026223802,12118, 3:21:58,06:00:00,06h - 08h,Oct 21,4
1861,unit05,20151026223802,19318, 5:21:58,08:00:00,08h - 10h,Oct 21,5
1862,unit05,20151026223802,26518, 7:21:58,10:00:00,10h - 12h,Oct 21,5
1865,unit05,20151101223002, 5398, 1:29:58,05:00:00,22h - 06h,Nov 1,4
1866,unit05,20151101223002,12598, 3:29:58,07:00:00,06h - 08h,Nov 1,5
1867,unit05,20151101223002,19798, 5:29:58,09:00:00,08h - 10h,Nov 1,5
1868,unit05,20151101223002,26998, 7:29:58,11:00:00,10h - 12h,Nov 1,5
1871,unit05,20150930231903, 2457, 0:40:57,04:00:00,22h - 06h,Oct 1,0
1872,unit05,20150930231903, 9657, 2:40:57,06:00:00,06h - 08h,Oct 1,0
1873,unit05,20150930231903,16857, 4:40:57,08:00:00,08h - 10h,Oct 1,0
1874,unit05,20150930231903,24057, 6:40:57,10:00:00,10h - 12h,Oct 1,0
1876,unit05,20151110222002, 5998, 1:39:58,05:00:00,22h - 06h,Nov 7,0
1877,unit05,20151110222002,13198, 3:39:58,07:00:00,06h - 08h,Nov 7,0
1878,unit05,20151110222002,20398, 5:39:58,09:00:00,08h - 10h,Nov 7,5
1879,unit05,20151110222002,27598, 7:39:58,11:00:00,10h - 12h,Nov 7,8
1882,unit05,20150828001902, 6058, 1:40:58,06:00:00,06h - 08h,Aug 21,1
1883,unit05,20150828001902,13258, 3:40:58,08:00:00,08h - 10h,Aug 21,1
1884,unit05,20150828001902,20458, 5:40:58,10:00:00,10h - 12h,Aug 21,1
1886,unit05,20151120221202, 6478, 1:47:58,05:00:00,22h - 06h,Nov 14,5
1887,unit05,20151120221202,13678, 3:47:58,07:00:00,06h - 08h,Nov 14,5
1888,unit05,20151120221202,20878, 5:47:58,09:00:00,08h - 10h,Nov 14,5
1889,unit05,20151120221202,28078, 7:47:58,11:00:00,10h - 12h,Nov 14,5
1892,unit05,20151108222202, 5878, 1:37:58,05:00:00,22h - 06h,Nov 7,4
1893,unit05,20151108222202,13078, 3:37:58,07:00:00,06h - 08h,Nov 7,4
1894,unit05,20151108222202,20278, 5:37:58,09:00:00,08h - 10h,Nov 7,5
1895,unit05,20151108222202,27478, 7:37:58,11:00:00,10h - 12h,Nov 7,5
1898,unit06,20151113221705, 6174, 1:42:54,05:00:00,22h - 06h,Nov 7,0
1899,unit06,20151113221705,13374, 3:42:54,07:00:00,06h - 08h,Nov 7,0
1900,unit06,20151113221705,20574, 5:42:54,09:00:00,08h - 10h,Nov 7,0
1901,unit06,20151113221705,27774, 7:42:54,11:00:00,10h - 12h,Nov 7,0
1904,unit06,20151107222204, 5875, 1:37:55,05:00:00,22h - 06h,Nov 1,5
1905,unit06,20151107222204,13075, 3:37:55,07:00:00,06h - 08h,Nov 7,5
1906,unit06,20151107222204,20275, 5:37:55,09:00:00,08h - 10h,Nov 7,5
1907,unit06,20151107222204,27475, 7:37:55,11:00:00,10h - 12h,Nov 7,5
1910,unit06,20150922233212, 1667, 0:27:47,04:00:00,22h - 06h,Sep 21,5
1911,unit06,20150922233212, 8867, 2:27:47,06:00:00,06h - 08h,Sep 21,5
1912,unit06,20150922233212,16067, 4:27:47,08:00:00,08h - 10h,Sep 21,5
1913,unit06,20150922233212,23267, 6:27:47,10:00:00,10h - 12h,Sep 21,5
1916,unit06,20151109222004, 5996, 1:39:56,05:00:00,22h - 06h,Nov 7,5
1917,unit06,20151109222004,13196, 3:39:56,07:00:00,06h - 08h,Nov 7,5
1918,unit06,20151109222004,20396, 5:39:56,09:00:00,08h - 10h,Nov 7,5
1919,unit06,20151109222004,27596, 7:39:56,11:00:00,10h - 12h,Nov 7,5
1922,unit06,20151112221804, 6115, 1:41:55,05:00:00,22h - 06h,Nov 7,0
1923,unit06,20151112221804,13315, 3:41:55,07:00:00,06h - 08h,Nov 7,0
1924,unit06,20151112221804,20515, 5:41:55,09:00:00,08h - 10h,Nov 7,5
1925,unit06,20151112221804,27715, 7:41:55,11:00:00,10h - 12h,Nov 7,5
1928,unit06,20151119221204, 6476, 1:47:56,05:00:00,22h - 06h,Nov 14,5
1929,unit06,20151119221204,13676, 3:47:56,07:00:00,06h - 08h,Nov 14,5
1930,unit06,20151119221204,20876, 5:47:56,09:00:00,08h - 10h,Nov 14,5
1931,unit06,20151119221204,28076, 7:47:56,11:00:00,10h - 12h,Nov 14,5
1934,unit06,20151011225904, 3655, 1:00:55,04:00:00,22h - 06h,Oct 7,5
1935,unit06,20151011225904,10855, 3:00:55,06:00:00,06h - 08h,Oct 7,5
1936,unit06,20151011225904,18055, 5:00:55,08:00:00,08h - 10h,Oct 7,5
1937,unit06,20151011225904,25255, 7:00:55,10:00:00,10h - 12h,Oct 7,5
1939,unit06,20151007230603, 3236, 0:53:56,04:00:00,22h - 06h,Oct 1,5
1940,unit06,20151007230603,10436, 2:53:56,06:00:00,06h - 08h,Oct 7,5
1941,unit06,20151007230603,17636, 4:53:56,08:00:00,08h - 10h,Oct 7,5
1942,unit06,20151007230603,24836, 6:53:56,10:00:00,10h - 12h,Oct 7,5
1944,unit06,20151020224604, 4436, 1:13:56,04:00:00,22h - 06h,Oct 14,5
1945,unit06,20151020224604,11636, 3:13:56,06:00:00,06h - 08h,Oct 14,5
1946,unit06,20151020224604,18836, 5:13:56,08:00:00,08h - 10h,Oct 14,5
1947,unit06,20151020224604,26036, 7:13:56,10:00:00,10h - 12h,Oct 14,5
1950,unit06,20151021224403, 4556, 1:15:56,04:00:00,22h - 06h,Oct 14,5
1951,unit06,20151021224403,11756, 3:15:56,06:00:00,06h - 08h,Oct 21,5
1952,unit06,20151021224403,18956, 5:15:56,08:00:00,08h - 10h,Oct 21,5
1953,unit06,20151021224403,26156, 7:15:56,10:00:00,10h - 12h,Oct 21,5
1956,unit06,20150929232004, 2396, 0:39:56,04:00:00,22h - 06h,Sep 21,0
1957,unit06,20150929232004, 9596, 2:39:56,06:00:00,06h - 08h,Sep 21,0
1958,unit06,20150929232004,16796, 4:39:56,08:00:00,08h - 10h,Sep 21,0
1959,unit06,20150929232004,23996, 6:39:56,10:00:00,10h - 12h,Sep 21,0
1961,unit06,20151118221304, 6416, 1:46:56,05:00:00,22h - 06h,Nov 14,4
1962,unit06,20151118221304,13616, 3:46:56,07:00:00,06h - 08h,Nov 14,4
1963,unit06,20151118221304,20816, 5:46:56,09:00:00,08h - 10h,Nov 14,4
1964,unit06,20151118221304,28016, 7:46:56,11:00:00,10h - 12h,Nov 14,4
1967,unit06,20151126220804, 6716, 1:51:56,05:00:00,22h - 06h,Nov 21,5
1968,unit06,20151126220804,13916, 3:51:56,07:00:00,06h - 08h,Nov 21,5
1969,unit06,20151126220804,21116, 5:51:56,09:00:00,08h - 10h,Nov 21,5
1970,unit06,20151126220804,28316, 7:51:56,11:00:00,10h - 12h,Nov 21,5
1973,unit06,20151024224004, 4795, 1:19:55,04:00:00,22h - 06h,Oct 21,0
1974,unit06,20151024224004,11995, 3:19:55,06:00:00,06h - 08h,Oct 21,0
1975,unit06,20151024224004,19195, 5:19:55,08:00:00,08h - 10h,Oct 21,0
1976,unit06,20151024224004,26395, 7:19:55,10:00:00,10h - 12h,Oct 21,0
1979,unit06,20151027223604, 5035, 1:23:55,04:00:00,22h - 06h,Oct 21,5
