,Unit,File name,File timestamp,Start timestamp,Stop timestamp,Start hop,Stop hop,MFCC #00,MFCC #01,MFCC #02,MFCC #03,MFCC #04,MFCC #05,MFCC #06,MFCC #07,MFCC #08,MFCC #09,MFCC #10,MFCC #11,MFCC #12,ΔMFCC #00,ΔMFCC #01,ΔMFCC #02,ΔMFCC #03,ΔMFCC #04,ΔMFCC #05,ΔMFCC #06,ΔMFCC #07,ΔMFCC #08,ΔMFCC #09,ΔMFCC #10,ΔMFCC #11,ΔMFCC #12
10,unit01,20151013225702,1444791422,1444795200,1444802400,0472250,1372250, -2.137742996,  9.258690834,  2.962790489, 14.668605804,  7.471445560,  9.904790878,  7.341822624,  7.487123489,  2.080310106,  2.944644213,  2.012981176,  2.876553535,  2.454083920, -1.416649222,  0.735301197,  0.695575893, -0.448368490,  0.287791580, -0.390506059,  0.244516030, -0.742714167, -0.175661057, -0.221414626,  0.255353630, -0.204953581,  0.338475555
11,unit01,20151013225702,1444791422,1444802400,1444809600,1372250,2272250, -2.133891582,  6.977735996,  4.042944908, 14.873834610,  8.026895523,  9.928184509,  7.058781624,  6.992882252,  2.581007957,  3.019263268,  2.091411591,  3.354267836,  2.488349438, -2.246905088,  0.155397594,  0.781318784, -0.689519525,  0.535124600, -0.465659767,  0.701973021,  0.618037522,  0.134712398, -0.480166644,  0.139358029, -0.222691417,  0.095412470
12,unit01,20151013225702,1444791422,1444809600,1444816800,2272250,3172250, -2.141110420,  6.703569412,  3.917249441, 14.688214302,  8.269162178, 10.144613266,  6.926909924,  6.910065174,  3.058914423,  3.679252863,  2.286890268,  3.314674377,  2.229708433, -2.282548189,  0.071170330,  0.972709596, -0.013966263,  0.673317969, -0.459312439,  0.177581042, -0.584102988,  0.049372621, -0.922295451, -0.043176968, -0.249951348, -0.329941332
13,unit01,20151013225702,1444791422,1444816800,1444824000,3172250,4072250, -2.145017147,  7.231281281,  3.848397255, 14.662318230,  8.375938416, 10.206771851,  6.765794277,  6.839906216,  3.252255917,  3.759263992,  2.336625338,  3.374273539,  2.165022373, -1.563894153,  0.163814023,  0.669856966, -0.702080190,  0.227795005, -0.005385971,  0.343905270, -0.946616292,  0.454386860,  0.067047052,  0.356511980, -0.199811205, -0.053390540
14,unit01,20151013225702,1444791422,1444824000,1444831200,4072250,4972250, -2.144981146,  5.871361256,  4.284146786, 15.039946556,  8.697415352, 10.357271194,  6.996572018,  6.989377022,  3.250993729,  3.644157887,  2.086603642,  2.980355263,  1.873931289, -1.744168997,  0.774443924,  0.867035508, -0.480472803,  0.099401258, -0.586998641,  0.253290713,  0.112617515,  0.235835820, -0.321702570,  0.121706113, -0.345138401,  0.068546712
15,unit01,20150922233303,1442979183,1442980800,1442988000,0202125,1102125, -2.141400576, 23.683301926, -2.703491449, 14.596415520,  3.532232285, 15.441648483,  8.371058464, 13.641380310, -3.572345734,  0.386839479,  7.004631042, -3.616143227,  2.063190460, -1.441702962,  0.215908334,  0.634497106, -1.202244282,  0.480391026, -1.335594773,  0.178934604, -0.733899713,  1.063211918,  0.228555784,  0.674067974, -0.546619236,  0.151711985
16,unit01,20150922233303,1442979183,1442988000,1442995200,1102125,2002125, -2.225000858, 29.014305115,  2.145265341, 10.453557968,  7.218458176, 14.721059799,  7.373149395,  8.675029755,  1.030523658,  0.661536813,  4.805583477, -0.085377179,  1.516749620, -2.410531282, -0.207324043,  0.831086218, -1.081964135,  1.019165874, -0.292227179,  0.019827403, -1.153184295,  0.919621289, -0.453489602,  0.684151769,  0.176528424,  0.103304401
17,unit01,20150922233303,1442979183,1442995200,1443002400,2002125,2902125, -2.253059864, 26.772779465,  5.315047264, 13.726831436,  7.649808884, 12.862971306,  6.549675941,  7.185375690,  2.313073397,  1.632361293,  3.635486841,  1.817345262,  2.042894363, -1.638926864,  0.205308497,  0.887504041, -1.436987996,  0.471625179, -1.013585925,  0.198739290, -0.385219455,  0.876534700,  0.115526564,  0.538980544, -0.212702811,  0.481049240
18,unit01,20150922233303,1442979183,1443002400,1443009600,2902125,3802125, -2.219850063, 25.093101501,  4.780401707, 13.563002586,  8.309132576, 12.152135849,  7.178603172,  7.057410717,  2.259709358,  2.583955050,  2.385617256,  2.164870739,  1.905580044, -1.801669478, -0.305124968,  0.573489189, -0.953985989,  0.289207369, -0.954426825,  0.542911232,  0.002571567,  0.259634286, -0.641398370,  0.135570258, -0.375602901,  0.653499901
19,unit01,20150922233303,1442979183,1443009600,1443016800,3802125,4702125, -2.165984869, 25.443407059,  1.724090934, 11.199953079,  8.414668083, 12.588544846,  8.929706573,  7.302085876,  2.206887484,  2.769005537,  1.822497368,  2.130700111,  1.048713088, -2.379036427, -0.098502718,  0.966703057, -0.556032836,  1.008101821, -0.806537211,  0.010064296, -0.519086599,  0.195588604, -0.473494083,  0.404575974, -0.046088006,  0.642769814
20,unit01,20151012225802,1444705082,1444708800,1444716000,0464750,1364750, -1.695313573,  2.105061769,-17.772211075,  5.684263229,  3.771395206, 13.173747063, 16.890569687, 13.663787842, -3.262103081,  5.720154285,  2.835860729, -2.668404341,  1.618597269, -3.106445551, -0.561547339,  1.182410836, -0.043574411,  1.213682294,  0.512644053,  0.843430042,  0.037454594, -0.117444217, -0.990447581, -0.471288264, -0.012179777,  0.333461791
21,unit01,20151012225802,1444705082,1444716000,1444723200,1364750,2264750, -1.674516201,  1.033498049,-18.719736099,  5.174631119,  4.457225323, 13.563121796, 16.480895996, 13.830239296, -2.895732403,  5.010312557,  2.673648596, -2.819779396,  0.906285048, -2.426465034, -0.498450577,  0.563814163, -0.772548795,  1.063567996, -0.680676877,  0.008785693, -0.125166476,  0.658104479, -0.341757178,  0.239556462,  0.008796946, -0.018062875
22,unit01,20151012225802,1444705082,1444723200,1444730400,2264750,3164750, -1.618649244, -1.161782384,-20.594427109,  4.499527931,  5.084360123, 13.774676323, 16.724462509, 13.982286453, -2.315947533,  4.876518726,  2.575240850, -3.090465546,  0.421318412, -3.005537987, -0.043098345,  1.582527280, -0.188924745,  0.254235119, -1.178321004, -0.580249846, -0.563612461,  0.203678384, -0.618453622,  0.243552402,  0.378744364,  0.335999370
23,unit01,20151012225802,1444705082,1444730400,1444737600,3164750,4064750, -1.916437984,  8.667572021,-10.855594635,  8.868302345,  5.279191017, 12.695912361, 15.571105957, 13.077500343, -2.978381157,  4.708133698,  3.622676611, -2.402813435,  1.036124110, -2.100925684,  0.500414729,  1.254674077, -0.589778423,  0.440234929, -0.596691430,  0.478631884, -0.496842980,  0.349114388, -0.184887961,  0.147159010, -0.231634945,  0.122751214
24,unit01,20151012225802,1444705082,1444737600,1444744800,4064750,4964750, -1.585402489, -1.765586138,-21.909187317,  3.575932026,  5.243258476, 13.802829742, 16.654840469, 13.845616341, -1.806465864,  4.853858948,  2.779096603, -2.990590096,  0.557535648, -1.802180529, -0.012137816,  1.124210596, -0.093879342,  1.038799644,  0.104508191,  0.204908282, -0.243364364, -0.212667763, -0.228262156,  0.074244164,  0.059209898, -0.257818162
25,unit01,20150823002802,1440304082,1440309600,1440316800,0689750,1589750, -1.983612657,  3.864917994,  8.923704147, 15.457792282, 10.298614502, 12.009376526,  5.514439106, 16.790637970, -3.914167404,  2.238309145,  8.184891701, -1.288844585,  0.590404153, -2.163443089, -0.326955914,  0.002551492, -0.467796743,  0.459741980,  0.288673908, -0.055294409, -0.562001228,  0.263593167, -0.376711726, -0.141374752, -0.256504059,  0.272602975
26,unit01,20150823002802,1440304082,1440316800,1440324000,1589750,2489750, -2.072108984,  9.445063591, 11.083742142, 15.426630974,  9.643551826, 14.725049019,  3.588374138, 13.033947945,  0.121026844,  1.860816717,  6.661218166,  0.671971798,  1.110850215, -2.009595871, -0.147350088,  0.263942063, -0.445997626,  0.416012615, -0.830901265,  0.150710404, -0.524397612,  1.050055265,  0.046802733,  0.557374597, -0.090784989, -0.089524753
27,unit01,20150823002802,1440304082,1440324000,1440331200,2489750,3389750, -2.100426435, 11.801348686, 10.449456215, 16.792387009,  8.850592613, 15.751400948,  3.739669561, 10.792384148,  1.763056517,  1.592338204,  6.181846142,  0.861295342,  2.304678440, -1.438275933, -0.227865651, -0.040033717, -1.039341569,  0.442568421, -0.759941697,  0.348496765, -0.498205781,  0.730882049, -0.072011083,  0.254623294, -0.257607609, -0.465922028
28,unit01,20150823002802,1440304082,1440331200,1440338400,3389750,4289750, -2.080651045,  9.531235695, 10.514099121, 17.602140427,  9.115520477, 15.198434830,  4.296535492,  9.359721184,  2.199815512,  1.818850875,  5.545566082,  1.550658107,  2.855942011, -1.066279411,  0.054302908,  0.108303711, -1.217906356, -0.276891977, -0.630087614, -0.193291306, -0.541062236,  0.215931997, -0.220198959,  0.243359759, -0.371743053, -0.156836957
29,unit01,20150810194513,1439250313,1439251199,1439258399,0110750,1010750, -1.916832924, -0.025103280,  3.996951580, 19.554580688,  9.062972069,  8.935885429,  8.450293541, 18.773338318, -7.085239887,  4.033534050,  8.109951973, -2.567971945,  1.673618078, -1.845832586, -0.263835907,  0.342117339, -0.685729265,  0.478087723, -0.362320960, -0.134529591, -0.381055146,  0.294983000, -0.013897090, -0.538248718,  0.198434696,  0.514248013
30,unit01,20150810194513,1439250313,1439258399,1439265599,1010750,1910750, -2.019249201,  6.014070988, 10.357292175, 14.915220261, 10.274364471, 13.053283691,  4.431504250, 15.636718750, -2.553645611,  1.896957636,  8.062350273, -0.760819376,  0.689170063, -1.923736215, -0.191191703,  0.164059475, -0.257525265,  0.336723506, -0.605013311, -0.296761513, -0.558688879,  0.482520849, -0.095770344,  0.444975764, -0.311439365, -0.150114998
31,unit01,20150810194513,1439250313,1439265599,1439272799,1910750,2810750, -2.087091208, 10.564517021, 10.883718491, 15.803833008,  9.641947746, 14.885027885,  3.806266069, 12.059234619,  0.889043629,  1.891873598,  6.177357197,  1.076465607,  1.203979850, -1.778877020, -0.277659565,  0.181299508, -1.022158504,  0.377025902, -0.392194152,  0.316671491, -0.734936178,  1.076609135,  0.048417959,  0.225694075, -0.138357624, -0.362726092
32,unit01,20150810194513,1439250313,1439272799,1439279999,2810750,3710750, -2.099955797, 11.730182648, 10.148283005, 17.334457397,  8.505756378, 15.945774078,  3.742503881, 10.092099190,  2.164576054,  1.347126961,  6.228374004,  0.884481192,  2.787136316, -1.491850853, -0.580479622,  0.055315599, -0.814538240,  0.590992987, -0.462486535,  0.318950176, -0.546632528,  0.416650951, -0.363493770,  0.209101513, -0.095286176, -0.076971024
33,unit01,20150924232902,1443151742,1443153600,1443160800,0232250,1132250, -1.968138456,  8.951326370, -2.400556564, 21.361560822,  4.745701790, 10.139907837,  9.191895485, 15.754424095, -7.520064831,  5.651125908,  7.048863888, -3.234754562,  4.556906223, -2.231239080, -0.693718672,  0.794553578, -0.417166114,  0.914234996, -1.109456062,  0.238509968, -0.512472570,  0.309889436, -0.070340596, -0.157753184, -0.317824960, -0.194118232
34,unit01,20150924232902,1443151742,1443160800,1443168000,1132250,2032250, -2.051403761, 12.984153748,  1.545881629, 17.927762985,  6.128359318, 12.150529861,  6.984770775, 11.593562126, -0.848940372,  3.467603922,  5.065432549,  0.297839165,  2.838382483, -2.792993069, -0.215201393,  1.849007487, -0.246612340,  0.026672808, -0.506089568,  0.329189360, -0.632207513,  0.279662877, -0.395383090,  0.114150636,  0.135766000,  0.466859370
35,unit01,20150924232902,1443151742,1443168000,1443175200,2032250,2932250, -2.134613752, 17.449426651,  3.812331915, 16.477802277,  8.374950409, 10.518786430,  6.927372932,  9.142725945,  1.637470722,  3.030708551,  4.510004997,  1.488394022,  1.784443617, -1.904177308, -0.214749396,  0.938155115, -0.147000700,  0.686497808, -0.180937782,  0.195359156, -0.508347094,  0.165964380, -0.426369727,  0.358729005,  0.330264628, -0.171784103
36,unit01,20150924232902,1443151742,1443175200,1443182400,2932250,3832250, -2.152857304, 18.472759247,  4.645089626, 15.781217575,  8.714763641, 10.782083511,  6.582601547,  7.894349098,  2.851331472,  2.981291771,  3.545175552,  2.176891804,  1.683452606, -2.475700378, -0.412570089,  1.148361444, -0.561166406, -0.100611232, -0.892069101,  0.048391443, -0.591852248,  0.479254574, -0.182774842,  0.687848389, -0.062036276,  0.171566546
37,unit01,20150924232902,1443151742,1443182400,1443189600,3832250,4732250, -2.143097401, 19.711004257,  3.259697199, 13.830003738,  8.443112373, 11.618957520,  7.401156902,  7.659286499,  2.994062185,  3.442577839,  3.094903231,  2.289888859,  1.800938249, -2.135868311, -0.298683107,  1.111961484, -0.623757541, -0.115825236, -0.568212450,  1.275962830, -0.243057698, -0.031674381, -0.298360616,  0.156458646, -0.132463530,  0.314581275
38,unit01,20150927232402,1443410642,1443412800,1443420000,0269750,1169750, -2.073784828, 15.652841568, -5.314649582, 29.099636078,  2.733599901,  7.134039402, 12.271687508, 17.578372955,-12.384677887,  7.383860111,  8.838367462, -3.986069679,  4.727641106, -2.544503689, -1.547869205,  1.571826696, -0.794556022,  0.925019920, -0.297397226,  0.488860995, -0.555759132, -0.084890001, -0.155364811,  0.341541082, -0.222220555, -0.128658801
39,unit01,20150927232402,1443410642,1443420000,1443427200,1169750,2069750, -1.970213652,  7.651172638, -5.158809662, 21.754011154,  2.861491442,  8.646933556, 12.741351128, 16.606536865, -9.541693687,  4.267707348,  8.374721527, -4.362596989,  1.502360582, -1.950229526, -1.107028365,  0.650191665, -1.188165307,  0.197442725,  0.150119290,  0.851426959, -0.636794746,  0.037069969, -0.320887744, -0.056038763,  0.187029928,  0.287263691
40,unit01,20150927232402,1443410642,1443427200,1443434400,2069750,2969750, -1.985165715,  8.445715904, -3.120336294, 18.535482407,  4.238512516,  9.663306236, 11.039685249, 15.713526726, -6.559069633,  3.292160034,  7.173597336, -2.367183924,  1.183427930, -2.844045162, -0.607341945,  1.077945352,  0.285804331,  0.319233835, -0.885978341, -0.216898039, -0.274848044,  0.104493186,  0.172519431,  0.357567817, -0.255544901,  0.452900290
41,unit01,20150927232402,1443410642,1443434400,1443441600,2969750,3869750, -1.958575845,  7.995298862, -3.155487776, 15.784157753,  6.652580738,  9.300621986, 10.735097885, 13.063184738, -3.558513403,  3.171077251,  6.246810436, -1.280087233,  0.792267978, -2.210201740, -0.442286223,  0.382538795, -0.364436120,  0.764188647, -0.163788587,  0.357891291, -0.623506367, -0.093538582, -0.063046835, -0.028001612,  0.050300196, -0.392688513
42,unit01,20150927232402,1443410642,1443441600,1443448800,3869750,4769750, -1.925276279,  6.164265156, -5.663968563, 13.031790733,  5.100287437,  9.259613991, 11.919278145, 13.540162086, -5.191183567,  3.822057009,  5.665266991, -2.979748249,  1.244389176, -2.345489264, -0.193839952,  0.320432365, -0.518260241,  0.254490346, -1.297813773, -0.129974008,  0.477607578,  1.067451835, -0.002811437, -0.278909445, -0.376582563, -0.041774686
43,unit01,20151004231202,1444014722,1444017600,1444024800,0359750,1259750, -2.123468637, 17.041906357,  4.628305912, 16.318529129,  6.527756214,  9.609087944,  8.348567009,  9.337547302,  0.974569082,  2.200885534,  3.479263783,  1.843778014,  1.743134260, -1.380913138,  0.093363598,  0.626504838, -0.754517972,  0.203007579, -0.521695077, -0.003310454, -0.226449668,  0.876756310, -0.511192381, -0.336916506, -0.350484759,  0.369383633
44,unit01,20151004231202,1444014722,1444024800,1444032000,1259750,2159750, -2.154317141, 16.091445923,  4.005481720, 16.500446320,  6.681945324,  9.575546265,  7.872889996,  8.450290680,  0.949418545,  2.717550278,  3.164262295,  1.916280031,  1.417050958, -3.251719236, -0.629577100,  0.901171088, -0.374522924,  0.756889403, -0.440979302, -0.167418763, -0.960392773,  0.106947117, -0.504867733,  0.433681697, -0.106974199,  0.057999015
45,unit01,20151004231202,1444014722,1444032000,1444039200,2159750,3059750, -2.260699987, 24.275465012,  6.048557281, 15.498106003,  8.543732643, 10.542126656,  7.279838562,  7.177655697,  2.800591946,  2.739118814,  2.133177519,  3.158646107,  2.084884644, -1.077950001,  0.303338289,  0.803068697, -0.971362293,  0.220480010, -1.109230638,  0.050197091, -0.181218892,  0.657583177, -0.462257564,  0.449735284, -0.348476410,  0.157644168
46,unit01,20151004231202,1444014722,1444039200,1444046400,3059750,3959750, -2.261426926, 25.419223785,  6.683256149, 15.899671555,  8.755414009, 10.408645630,  7.422079563,  7.415706158,  2.631661654,  2.898166656,  2.314926386,  3.162632465,  2.153590918, -2.348337889, -0.662927866,  1.334272265, -0.305085272,  0.013048262, -1.535391331, -0.357435316, -0.404170275,  0.825493574,  0.080680259,  0.211662173, -0.368260503,  0.580160320
47,unit01,20151004231202,1444014722,1444046400,1444053600,3959750,4859750, -2.162270308, 17.258741379,  5.300716877, 15.913240433,  8.430201530, 10.364006996,  7.501372337,  7.618159294,  2.209083080,  2.803565025,  2.297506094,  2.743598700,  1.880609393, -1.669568777,  0.132742330,  0.476856500, -0.343249381,  0.157916963, -0.318175286,  0.529928923, -0.215267107,  0.784680605, -0.509470761,  0.616986871, -0.207711935, -0.124317810
48,unit01,20150911235303,1442029983,1442030400,1442037600,0052125,0952125, -1.880420685,  4.044523239, -3.251078606, 23.943382263,  4.366832733,  5.898428917, 11.554073334, 20.853471756,-13.259759903,  7.144646645,  8.589404106, -2.014286757,  3.699049473, -2.575307846, -0.508381367,  0.984604657, -0.297254980,  0.993776500, -0.540321410,  0.020661630, -0.710443318,  0.431238472, -0.351449043, -0.249030575, -0.092208296,  0.251345366
49,unit01,20150911235303,1442029983,1442037600,1442044800,0952125,1852125, -2.009711742, 10.618040085,  5.818739414, 14.409655571,  6.279335976, 14.001176834,  4.147881031, 17.186796188, -5.308122635,  3.771758795,  7.175782204, -0.189333901,  3.834079504, -2.572059631,  0.205221891,  0.703151405, -0.441455245, -0.243158430, -0.589618921,  0.897179425, -0.119808212,  0.890741587, -0.194701195, -0.396945208,  0.274830937,  0.342581332
50,unit01,20150911235303,1442029983,1442044800,1442052000,1852125,2752125, -2.097550392, 13.261147499,  8.996809959, 15.320515633,  8.061956406, 14.265871048,  2.643323660, 12.773841858, -1.455502272,  3.441729784,  5.536202431,  1.238759398,  4.258239269, -2.655434847,  0.106202707,  0.678697169, -0.410694301,  0.160353646, -0.570143878,  0.803160489, -0.807084024,  0.444005013, -0.295496315, -0.413788974, -0.622806787, -0.027503215
51,unit01,20150911235303,1442029983,1442052000,1442059200,2752125,3652125, -2.101315498, 13.342626572,  8.899931908, 16.351835251,  8.258160591, 13.909871101,  3.537058353, 10.023949623,  0.375873923,  3.003978968,  4.559428692,  1.471416473,  3.935466766, -2.695054531,  0.057531323,  0.851481974, -0.548356354,  0.099817477, -0.283460706,  0.316249281, -0.593611121,  0.778557599, -0.444101125,  0.123554885, -0.240879357,  0.638627887
52,unit01,20150911235303,1442029983,1442059200,1442066400,3652125,4552125, -2.098794937, 12.515083313,  8.293743134, 16.619813919,  8.497850418, 12.767019272,  5.056228161,  8.017254829,  1.728272796,  2.551609755,  3.983133316,  2.374956131,  3.168910503, -2.563542604, -0.219023094,  0.412331462, -0.114580914,  0.326675594, -0.111957803,  0.057567872, -0.144323915,  0.098724112, -0.517424285,  0.369615704, -0.192889690,  0.362715632
53,unit01,20150817003702,1439786222,1439791200,1439798400,0622250,1522250, -1.854074717,-12.809341431, 10.517002106, 24.005945206, 10.193623543,  2.836451054, 16.532867432, 10.068037033, -7.618763924, 15.799310684,  2.212506771, -2.052045822,  7.675678253, -1.456803918,  0.849068880,  0.050145172, -1.060851455, -0.646104336, -0.351456761,  0.353328913, -0.096379243, -0.353668958, -0.710527837, -0.134926155, -0.344109058,  0.514245749
54,unit01,20150817003702,1439786222,1439798400,1439805600,1522250,2422250, -1.891063571,-13.115820885, 16.750904083, 20.473804474, 14.091016769,  4.069803715, 12.299260139, 11.079396248, -6.322439671, 12.987492561,  4.053404331, -1.754952192,  7.245616436, -1.644297123,  0.443815589, -0.283651829, -1.012000561, -0.795585930,  0.175915375,  0.223574460, -0.067781508, -0.074793279, -0.304985940, -0.470643908, -0.025668794,  0.647186458
55,unit01,20150817003702,1439786222,1439805600,1439812800,2422250,3322250, -1.931814671, -9.205892563, 17.396408081, 18.549987793, 14.269804001,  6.859803200,  9.061583519, 12.519101143, -5.437519550, 10.843142509,  6.081241608, -2.768553972,  7.418722153, -1.844879031,  0.310911387, -0.688297808, -0.432453990, -0.141617790,  0.160321519,  0.381367832, -0.286178201, -0.145469978,  0.328570217,  0.030949978,  0.387095362,  0.700311124
56,unit01,20150817003702,1439786222,1439812800,1439820000,3322250,4222250, -1.953367114, -6.783210754, 20.356811523, 12.841835976, 13.896542549, 11.957830429,  5.022848129, 13.369253159, -3.027245045,  8.626126289,  5.559870243, -1.086214304,  6.797462463, -1.471765876,  0.460191667, -1.113466740, -1.034346223, -0.489216655,  0.358054429,  0.641382933, -0.377294630, -0.179922357,  0.401134670, -0.204175502,  0.245412052,  0.282305926
57,unit01,20150904000702,1441339622,1441346400,1441353600,0847250,1747250, -1.758580685,-17.269527435,  8.150793076, 28.442001343, 10.311023712, -2.891264439, 21.524017334,  9.291471481,-13.009142876, 14.896619797,  2.656951189, -3.111200333,  7.301503181, -2.440793037,  0.289689720,  0.293263465, -1.079648376,  0.801732481,  0.211904809, -0.056719463,  0.110363275,  0.018606793,  0.011492120,  0.062659062, -0.062373441, -0.011669811
58,unit01,20150904000702,1441339622,1441353600,1441360800,1747250,2647250, -1.812468290,-14.720078468,  9.282836914, 27.158855438, 12.743289948, -2.332953930, 17.178474426, 12.705403328,-13.077927589, 11.935398102,  5.166304588, -3.196953297,  5.203474998, -3.203662395,  0.160994768,  0.439469725, -0.150679022,  0.242824197, -0.428558856, -0.034426864,  0.218047231,  0.071039386, -0.399316549, -0.171792865, -0.717094719, -0.135884106
59,unit01,20150904000702,1441339622,1441360800,1441368000,2647250,3547250, -1.874193072,-11.969081879, 12.515452385, 24.407712936, 13.368756294, -0.633703113, 14.597982407, 12.026109695,-11.048480988, 10.687724113,  5.446688652, -2.041882515,  4.728822231, -2.153026342,  0.241552114, -0.315844059, -0.512044430,  0.688926935, -0.576808631,  0.368992925,  0.051542524, -0.298736364, -0.011631761,  0.354320556, -0.500306606,  0.527841210
60,unit01,20150904000702,1441339622,1441368000,1441375200,3547250,4447250, -1.911726713,-10.393719673, 16.316284180, 20.061145782, 13.017743111,  2.869346857, 12.875935555,  9.604200363, -8.483698845, 11.169939995,  2.392729998, -0.211039975,  6.059152126, -2.549244404,  0.189386234, -0.474697649, -0.519282520,  0.394745976,  0.164935485,  0.227617934,  0.087339506, -0.160929427,  0.086573079, -0.305946767,  0.035013668, -0.081536055
61,unit01,20150818003603,1439872563,1439877600,1439884800,0629625,1529625, -1.829566956,-15.496555328, 11.154986382, 25.154188156,  8.933442116,  2.323085785, 18.858320236,  7.353304863, -6.006416798, 17.757923126, -1.366674066,  2.021729469,  5.876466751, -1.561447740,  0.963231802, -0.114249766, -1.220932007,  0.028907500, -0.649118721, -0.246876732,  0.310575992,  0.007359656, -0.246101856, -0.087320685,  0.261369824,  0.815619886
